Trigger_Name,Actual_lumi,Effective_lumi,First_run,Last_run,datasets
HLT_ZeroBias_v,27.2,2.40E-05,365753,370790,"ExpressPhysics, ZeroBias"
HLT_ZeroBias_LastCollisionInTrain_v,27.2,0.00022,365753,370790,ZeroBias
HLT_ZeroBias_IsolatedBunches_v,27.2,0.019,365753,370790,"Commissioning, ExpressPhysics, ZeroBias"
HLT_ZeroBias_HighExpress_v,0,0,365753,366035,ExpressPhysics
HLT_ZeroBias_FirstCollisionInTrain_v,27.2,0.048,365753,370790,ZeroBias
HLT_ZeroBias_FirstCollisionAfterAbortGap_v,27.2,0.024,365753,370790,"ExpressPhysics, ZeroBias"
HLT_ZeroBias_FirstBXAfterTrain_v,27.2,0.00023,365753,370790,ZeroBias
HLT_ZeroBias_Beamspot_v,27.2,2.40E-05,365753,370790,ExpressAlignment
HLT_ZeroBias_Alignment_v,27.2,1.20E-05,365753,370790,ZeroBias
HLT_VBF_DoubleMediumDeepTauPFTauHPS20_eta2p1_v,27.2,27.2,366403,370790,"ParkingVBF[0-7], Tau"
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet95_45_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_TriplePFJet_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet90_40_Mjj600_Detajj2p5_Mu3_TrkIsoVVL_TriplePFJet_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85_TriplePFJet_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingSixJet_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingFiveJet_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85_TriplePFJet_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingSixJet_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingFiveJet_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet50_Mjj500_Detajj2p5_Photon22_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet50_Mjj500_Detajj2p5_Ele22_eta2p1_WPTight_Gsf_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Photon17_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Photon12_v,11.5,11.5,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_MediumDeepTauPFTauHPS45_L2NN_eta2p1_v,21,21,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Ele17_eta2p1_WPTight_Gsf_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_Ele12_eta2p1_WPTight_Gsf_v,11.5,11.5,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0_v,1.7,1.7,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0_TriplePFJet_v,1.7,1.7,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_TriplePFJet_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5_TriplePFJet_v,9.5,9.5,369869,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_v,20.8,20.8,367661,370790,ParkingVBF[0-7]
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5_TriplePFJet_v,20.8,20.8,367661,370790,ParkingVBF[0-7]
HLT_UncorrectedJetE70_NoBPTX3BX_v,27.2,27.2,366403,370790,NoBPTX
HLT_UncorrectedJetE60_NoBPTX3BX_v,27.2,27.2,366403,370790,NoBPTX
HLT_UncorrectedJetE30_NoBPTX3BX_v,27.2,1.4,366403,370790,NoBPTX
HLT_UncorrectedJetE30_NoBPTX_v,27.2,0.27,366403,370790,NoBPTX
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_TripleMu_5_3_3_Mass3p8_DZ_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_TripleMu_5_3_3_Mass3p8_DCA_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_TripleMu_12_10_5_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_TripleMu_10_5_5_DZ_v,27.2,27.2,366403,370790,"Muon[0,1]"
HLT_TripleJet110_35_35_Mjj650_PFMET130_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_TripleJet110_35_35_Mjj650_PFMET120_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_TripleJet110_35_35_Mjj650_PFMET110_v,27.2,27.2,366403,370790,"JetMET[0,1], ParkingVBF[0-7]"
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v,27.2,27.2,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Trimuon5_3p5_2_Upsilon_Muon_v,27.2,27.2,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v,27.2,2.7,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v,27.2,2.7,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v,27.2,27.2,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v,27.2,27.2,366403,370790,"ParkingDoubleMuonLowMass[0-7], ReservedDoubleMuonLowMass"
HLT_SingleJet30_Mu12_SinglePFJet40_v,0,0,366403,367619,"JetMET[0,1]"
HLT_SingleEle8_v,27.2,0.27,366403,370790,ParkingDoubleElectronLowMass
HLT_SingleEle8_SingleEGL1_v,27.2,0.02,366403,370790,ParkingDoubleElectronLowMass
