Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0,3838,1.7,1.7,ParkingVBF[0-7],54677,7.019404868591913
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5,3702,20.8,20.8,ParkingVBF[0-7],54677,6.770671397479744
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5,3415,9.5,9.5,ParkingVBF[0-7],54677,6.245770616529803
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_MediumDeepTauPFTauHPS45_L2NN_eta2p1,2703,21.0,21.0,ParkingVBF[0-7],54677,4.943577738354335
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5,2602,9.5,9.5,ParkingVBF[0-7],54677,4.758856557601916
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,2499,21.0,21.0,ParkingVBF[0-7],54677,4.570477531686084
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60,2248,27.2,27.2,Tau,54677,4.111417963677598
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,2169,9.5,9.5,ParkingVBF[0-7],54677,3.966933079722735
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75,1847,27.2,27.2,Tau,54677,3.378020008413044
HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1,1763,27.2,27.2,Tau,54677,3.2243905115496463
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85,1503,21.0,21.0,ParkingVBF[0-7],54677,2.7488706403057956
HLT_DoublePFJets40_Mass500_MediumDeepTauPFTauHPS45_L2NN_MediumDeepTauPFTauHPS20_eta2p1,1494,27.2,27.2,"ParkingVBF[0-7], Tau",54677,2.732410337070432
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85,1395,9.5,9.5,ParkingVBF[0-7],54677,2.5513470014814272
HLT_DiJet110_35_Mjj650_PFMET110,1112,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",54677,2.0337619108583134
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF,952,27.1,27.1,"JetMET[0,1]",54677,1.7411342977851747
HLT_HT360_DisplacedDijet40_Inclusive1PtrkShortSig5,858,2.6,2.6,ParkingLLP,54677,1.5692155751047059
HLT_VBF_DoubleMediumDeepTauPFTauHPS20_eta2p1,853,27.2,27.2,"ParkingVBF[0-7], Tau",54677,1.5600709621961701
