Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1,756,27.2,27.2,Tau,62717,1.2054147998150422
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60,717,27.2,27.2,Tau,62717,1.1432307029991868
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75,660,27.2,27.2,Tau,62717,1.052346253806783
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,449,21.0,21.0,ParkingVBF[0-7],62717,0.7159143453927962
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF,443,27.1,27.1,"JetMET[0,1]",62717,0.70634756126728
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p03,425,21.0,21.0,"JetMET[0,1]",62717,0.6776472088907314
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p05,416,21.0,21.0,"JetMET[0,1]",62717,0.6632970327024571
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0,401,1.7,1.7,ParkingVBF[0-7],62717,0.6393800723886666
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,393,9.5,9.5,ParkingVBF[0-7],62717,0.6266243602213116
HLT_PFHT500_PFMET100_PFMHT100_IDTight,392,27.2,27.2,"JetMET[0,1]",62717,0.6250298962003923
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p03,390,21.0,21.0,"JetMET[0,1]",62717,0.6218409681585535
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p05,382,21.0,21.0,"JetMET[0,1]",62717,0.6090852559911986
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF,363,27.2,27.2,"JetMET[0,1]",62717,0.5787904395937306
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight,363,27.2,27.2,"JetMET[0,1]",62717,0.5787904395937306
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60,363,27.2,27.2,"JetMET[0,1]",62717,0.5787904395937306
HLT_PFMET120_PFMHT120_IDTight,362,27.2,27.2,"JetMET[0,1]",62717,0.5771959755728112
HLT_PFMET120_PFMHT120_IDTight_PFHT60,362,27.2,27.2,"JetMET[0,1]",62717,0.5771959755728112
HLT_HT360_DisplacedDijet40_Inclusive1PtrkShortSig5,356,2.6,2.6,ParkingLLP,62717,0.567629191447295
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_MediumDeepTauPFTauHPS45_L2NN_eta2p1,347,21.0,21.0,ParkingVBF[0-7],62717,0.5532790152590207
HLT_PFHT500_PFMET110_PFMHT110_IDTight,333,27.2,27.2,"JetMET[0,1]",62717,0.5309565189661495
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06,333,21.0,21.0,"JetMET[0,1]",62717,0.5309565189661495
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03,329,21.0,21.0,"JetMET[0,1]",62717,0.524578662882472
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05,322,21.0,21.0,"JetMET[0,1]",62717,0.5134174147360365
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight,310,27.2,27.2,"JetMET[0,1]",62717,0.49428384648500406
HLT_PFMET130_PFMHT130_IDTight,310,27.2,27.2,"JetMET[0,1]",62717,0.49428384648500406
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF,309,27.2,27.2,"JetMET[0,1]",62717,0.4926893824640847
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06,308,21.0,21.0,"JetMET[0,1]",62717,0.49109491844316533
HLT_DiJet110_35_Mjj650_PFMET110,308,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.49109491844316533
HLT_HT390_DisplacedDijet40_Inclusive1PtrkShortSig5,296,2.6,2.6,ParkingLLP,62717,0.4719613501921329
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10,290,21.0,21.0,"JetMET[0,1]",62717,0.4623945660666167
HLT_HT360_DisplacedDijet45_Inclusive1PtrkShortSig5,286,2.6,2.6,ParkingLLP,62717,0.45601670998293925
HLT_DiJet110_35_Mjj650_PFMET120,281,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",62717,0.4480443898783424
HLT_PFMETTypeOne140_PFMHT140_IDTight,271,27.2,27.2,"JetMET[0,1]",62717,0.4320997496691487
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10,269,21.0,21.0,"JetMET[0,1]",62717,0.42891082162731
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06,262,21.0,21.0,"JetMET[0,1]",62717,0.4177495734808744
HLT_PFHT700_PFMET85_PFMHT85_IDTight,260,27.2,27.2,"JetMET[0,1]",62717,0.41456064543903565
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight,254,27.2,27.2,"JetMET[0,1]",62717,0.40499386131351944
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF,253,27.2,27.2,"JetMET[0,1]",62717,0.4033993972926001
HLT_PFMET140_PFMHT140_IDTight,253,27.2,27.2,"JetMET[0,1]",62717,0.4033993972926001
HLT_HT430_DisplacedDijet40_Inclusive1PtrkShortSig5,250,27.2,27.2,"DisplacedJet, ParkingLLP",62717,0.398616005229842
HLT_AK8PFJet420_MassSD30,248,27.2,27.2,"JetMET[0,1]",62717,0.39542707718800324
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5,246,20.8,20.8,ParkingVBF[0-7],62717,0.3922381491461645
HLT_HT390eta2p0_DisplacedDijet40_Inclusive1PtrkShortSig5,245,21.0,21.0,ParkingLLP,62717,0.39064368512524517
