https://cmshltinfo.app.cern.ch/summary,,,,,,
path (click to see more detail),act. lumi (fb-1),eff. lumi (fb-1),counts,first run,last run,dataset(s)
HLT_BTagMu_AK8Jet300_Mu5_v,35.2,27.9,,352494,362760,BTagMu
HLT_BTagMu_AK4DiJet20_Mu5_v,35.2,0.017,,352494,362760,BTagMu
HLT_BTagMu_AK4DiJet40_Mu5_v,35.2,0.11,,352494,362760,BTagMu
HLT_BTagMu_AK4DiJet70_Mu5_v,35.2,0.54,,352494,362760,BTagMu
HLT_BTagMu_AK4DiJet110_Mu5_v,35.2,2.1,,352494,362760,BTagMu
HLT_BTagMu_AK4DiJet170_Mu5_v,35.2,9.3,,352494,362760,BTagMu
HLT_BTagMu_AK4Jet300_Mu5_v,35.2,35.2,,352494,362760,BTagMu
HLT_BTagMu_AK8DiJet170_Mu5_v,35.2,8.1,,352494,362760,BTagMu
HLT_BTagMu_AK8Jet170_DoubleMu5_v,35.2,35.2,,352494,362760,BTagMu
HLT_IsoTrackHE_v,35.2,35.2,,352416,362760,Commissioning
HLT_IsoTrackHB_v,35.2,28.5,,352416,362760,Commissioning
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v,35.2,0.5,,352494,362760,Commissioning
HLT_PFJet40_GPUvsCPU_v,27,27,,359568,362760,Commissioning
HLT_L1SingleMuCosmics_v,0,0,,352494,362760,Cosmics
HLT_HT425_v,35.2,0.069,,352494,362760,DisplacedJet
HLT_HT430_DisplacedDijet40_DisplacedTrack_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_HT430_DisplacedDijet60_DisplacedTrack_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_HT400_DisplacedDijet40_DisplacedTrack_v,35.2,8.8,,352494,362760,DisplacedJet
HLT_HT650_DisplacedDijet60_Inclusive_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_HT550_DisplacedDijet60_Inclusive_v,35.2,2.2,,352494,362760,DisplacedJet
HLT_HT500_DisplacedDijet40_DisplacedTrack_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless_v,29.5,29.5,,352494,362760,DisplacedJet
HLT_HT430_DelayedJet40_DoubleDelay1nsInclusive_v,29.5,29.5,,352494,362760,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless_v,29.5,29.5,,352494,362760,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay2nsInclusive_v,29.5,29.5,,352494,362760,DisplacedJet
HLT_L1Mu6HT240_v,35.2,0.035,,352494,362760,DisplacedJet
HLT_Mu6HT240_DisplacedDijet30_Inclusive0PtrkShortSig5_v,15.6,15.6,,352494,362760,DisplacedJet
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_HT430_DisplacedDijet30_Inclusive1PtrkShortSig5_v,6.8,6.8,,352494,362760,DisplacedJet
HLT_HT430_DisplacedDijet35_Inclusive1PtrkShortSig5_v,14.2,14.2,,352494,362760,DisplacedJet
HLT_HT430_DisplacedDijet40_Inclusive1PtrkShortSig5_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_CaloMET60_DTCluster50_v,35.2,0.7,,352494,362760,DisplacedJet
HLT_CaloMET60_DTClusterNoMB1S50_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_L1MET_DTCluster50_v,35.2,0.35,,352494,362760,DisplacedJet
HLT_L1MET_DTClusterNoMB1S50_v,35.2,35.2,,352494,362760,DisplacedJet
HLT_CscCluster_Loose_v,29.6,24.4,,352494,362760,DisplacedJet
HLT_CscCluster_Medium_v,29.6,24.4,,352494,362760,DisplacedJet
HLT_CscCluster_Tight_v,29.6,24.4,,352494,362760,DisplacedJet
HLT_L1CSCShower_DTCluster50_v,29.6,24.4,,352494,362760,DisplacedJet
HLT_L1CSCShower_DTCluster75_v,29.6,24.4,,352494,362760,DisplacedJet
HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet60_DisplacedTrack_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT270_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay1nsTrackless_v,15.7,15.7,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay2nsInclusive_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay0p5nsTrackless_v,15.7,15.7,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay1nsInclusive_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet30_Inclusive1PtrkShortSig5_v,20.6,15,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet35_Inclusive1PtrkShortSig5_v,31.2,25.6,,355862,362760,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v,31.2,25.7,,355862,362760,DisplacedJet
HLT_HT430_DelayedJet40_DoubleDelay0p5nsInclusive_v,27,0.054,,359568,362760,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay0p5nsInclusive_v,27,0.011,,359568,362760,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay0p5nsTrackless_v,27,0.27,,359568,362760,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1nsInclusive_v,27,0.054,,359568,362760,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1p5nsInclusive_v,27,0.27,,359568,362760,DisplacedJet
HLT_L1Tau_DelayedJet40_DoubleDelay0p5nsTrackless_v,6.9,0.014,,361971,362760,DisplacedJet
HLT_L1Tau_DelayedJet40_DoubleDelay0p75nsInclusive_v,6.9,0.0069,,361971,362760,DisplacedJet
HLT_L1Tau_DelayedJet40_DoubleDelay1nsTrackless_v,6.9,6.9,,361971,362760,DisplacedJet
HLT_L1Tau_DelayedJet40_DoubleDelay1p25nsInclusive_v,6.9,6.9,,361971,362760,DisplacedJet
HLT_L1Tau_DelayedJet40_SingleDelay2p5nsTrackless_v,6.9,6.9,,361971,362760,DisplacedJet
HLT_L1Tau_DelayedJet40_SingleDelay3p5nsInclusive_v,6.9,6.9,,361971,362760,DisplacedJet
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_Mu20_Mu10_v,0.64,0.016,,352494,356386,DoubleMuon
HLT_Mu20_Mu10_DZ_v,0.64,0.016,,352494,356386,DoubleMuon
HLT_Mu20_Mu10_SameSign_DZ_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_Mu20_Mu10_SameSign_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_TrkMu16_DoubleTrkMu6NoFiltersNoVtx_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_Mu18_Mu9_SameSign_DZ_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_Mu18_Mu9_v,0.64,0.016,,352494,356386,DoubleMuon
HLT_Mu18_Mu9_DZ_v,0.64,0.016,,352494,356386,DoubleMuon
HLT_Mu23_Mu12_SameSign_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_Mu23_Mu12_SameSign_DZ_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_Mu23_Mu12_v,0.64,0.032,,352494,356386,DoubleMuon
HLT_Mu23_Mu12_DZ_v,0.64,0.032,,352494,356386,DoubleMuon
HLT_DoubleMu40NoFiltersNoVtxDisplaced_v,0.64,0.64,,352494,356386,DoubleMuon
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_NoL2Matched_v,0.09,0.09,,352494,355769,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_NoL2Matched_v,0.09,0.09,,352494,355769,DoubleMuon
HLT_DoubleL2Mu23NoVtx_2Cha_NoL2Matched_v,0.09,0.09,,352494,355769,DoubleMuon
HLT_DoubleL2Mu25NoVtx_2Cha_NoL2Matched_v,0.09,0.09,,352494,355769,DoubleMuon
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v,35.2,1.8,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v,35.2,1.8,,352494,362760,"DoubleMuon, Muon"
HLT_Mu8_TrkIsoVVL_v,35.2,0.0064,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_v,35.2,0.027,,352494,362760,"DoubleMuon, Muon"
HLT_TripleMu_12_10_5_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu8_v,35.2,0.0064,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_v,35.2,0.027,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_TripleMu_10_5_5_DZ_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_DoubleL2Mu50_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v,35.2,35.2,,352494,362760,"DoubleMuon, Muon"
