path (click to see more detail),act. lumi (fb-1),eff. lumi (fb-1),counts,first run,last run,dataset(s)
HLT_BTagMu_AK8Jet300_Mu5_v,109.4,54.7,69347179,378981,386951,BTagMu
HLT_BTagMu_AK4DiJet20_Mu5_v,109.4,0.034,46599618,378981,386951,BTagMu
HLT_BTagMu_AK4DiJet40_Mu5_v,109.4,0.21,54886967,378981,386951,BTagMu
HLT_BTagMu_AK4DiJet70_Mu5_v,109.4,1.1,62552552,378981,386951,BTagMu
HLT_BTagMu_AK4DiJet110_Mu5_v,109.4,4.2,60765110,378981,386951,BTagMu
HLT_BTagMu_AK4DiJet170_Mu5_v,109.4,18.2,65451588,378981,386951,BTagMu
HLT_BTagMu_AK4Jet300_Mu5_v,109.4,109.4,90100531,378981,386951,BTagMu
HLT_BTagMu_AK8DiJet170_Mu5_v,109.4,9.1,55041034,378981,386951,BTagMu
HLT_BTagMu_AK8Jet170_DoubleMu5_v,109.4,109.4,22530117,378981,386951,BTagMu
HLT_IsoTrackHE_v,109.4,36.5,26266958,378981,387721,Commissioning
HLT_IsoTrackHB_v,109.4,18.2,25238146,378981,387721,Commissioning
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v,109.5,1.2,24488437,378981,386951,Commissioning
HLT_PFJet40_GPUvsCPU_v,109.5,109.5,918861,378981,386951,Commissioning
HLT_L1SingleMuCosmics_v,0,0,0,378981,386951,Cosmics
HLT_HT425_v,109.4,0.21,13307062,378981,386951,DisplacedJet
HLT_HT400_DisplacedDijet40_DisplacedTrack_v,109.4,27.4,22643208,378981,386951,DisplacedJet
HLT_HT550_DisplacedDijet60_Inclusive_v,109.4,6.8,3748848,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_DoubleDelay0p5nsTrackless_v,109.4,109.4,11306170,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_DoubleDelay1nsInclusive_v,109.4,2.2,168969,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1nsTrackless_v,109.4,109.4,34515233,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay2nsInclusive_v,109.4,109.4,26486301,378981,386951,DisplacedJet
HLT_L1Mu6HT240_v,109.4,0.11,4537832,378981,386951,DisplacedJet
HLT_Mu6HT240_DisplacedDijet30_Inclusive1PtrkShortSig5_DisplacedLoose_v,109.4,109.4,101707140,378981,386951,DisplacedJet
HLT_Mu6HT240_DisplacedDijet35_Inclusive0PtrkShortSig5_v,109.4,109.4,126061594,378981,386951,DisplacedJet
HLT_Mu6HT240_DisplacedDijet35_Inclusive1PtrkShortSig5_DisplacedLoose_v,109.4,109.4,72780716,378981,386951,DisplacedJet
HLT_Mu6HT240_DisplacedDijet40_Inclusive0PtrkShortSig5_v,109.4,109.4,89229355,378981,386951,DisplacedJet
HLT_Mu6HT240_DisplacedDijet40_Inclusive1PtrkShortSig5_DisplacedLoose_v,109.4,109.4,58009527,378981,386951,DisplacedJet
HLT_CaloMET60_DTCluster50_v,109.4,2.2,4529079,378981,386951,DisplacedJet
HLT_CaloMET60_DTClusterNoMB1S50_v,109.4,109.4,29711777,378981,386951,DisplacedJet
HLT_L1MET_DTCluster50_v,109.4,1.1,3544116,378981,386951,DisplacedJet
HLT_L1MET_DTClusterNoMB1S50_v,109.4,109.4,43936748,378981,386951,DisplacedJet
HLT_HT170_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v,109.4,109.4,29796033,378981,386951,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v,109.4,109.4,26492276,378981,386951,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet60_DisplacedTrack_v,109.4,109.4,10536966,378981,386951,DisplacedJet
HLT_HT270_L1SingleLLPJet_DisplacedDijet40_DisplacedTrack_v,109.4,109.4,14265511,378981,386951,DisplacedJet
HLT_HT320_L1SingleLLPJet_DisplacedDijet60_Inclusive_v,109.4,109.4,27306468,378981,386951,DisplacedJet
HLT_HT420_L1SingleLLPJet_DisplacedDijet60_Inclusive_v,109.4,109.4,10637424,378981,386951,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay1nsTrackless_v,109.4,109.4,8057281,378981,386951,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_SingleDelay2nsInclusive_v,109.4,109.4,751031,378981,386951,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay0p5nsTrackless_v,109.4,109.4,1447438,378981,386951,DisplacedJet
HLT_HT200_L1SingleLLPJet_DelayedJet40_DoubleDelay1nsInclusive_v,109.4,109.4,156155,378981,386951,DisplacedJet
HLT_HT200_L1SingleLLPJet_DisplacedDijet40_Inclusive1PtrkShortSig5_v,109.4,109.4,130282977,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_DoubleDelay0p5nsInclusive_v,109.4,0.22,149412,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay0p5nsInclusive_v,109.4,0.044,336110,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay0p5nsTrackless_v,109.4,1.1,987313,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1nsInclusive_v,109.4,0.22,534616,378981,386951,DisplacedJet
HLT_HT430_DelayedJet40_SingleDelay1p5nsInclusive_v,109.4,1.1,836719,378981,386951,DisplacedJet
HLT_L1Tau_DelayedJet40_DoubleDelay0p5nsTrackless_v,109.4,0.22,309936,378981,386951,DisplacedJet
HLT_L1Tau_DelayedJet40_DoubleDelay0p75nsInclusive_v,109.4,0.11,319894,378981,386951,DisplacedJet
HLT_L1Tau_DelayedJet40_DoubleDelay1nsTrackless_v,109.4,2.2,397151,378981,386951,DisplacedJet
