Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets,total_nEvents,events_eff(%)
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0,5922,1.7,1.7,ParkingVBF[0-7],83934,7.055543641432554
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5,5808,20.8,20.8,ParkingVBF[0-7],83934,6.919722639216527
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5,5370,9.5,9.5,ParkingVBF[0-7],83934,6.39788405175495
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,5158,21.0,21.0,ParkingVBF[0-7],83934,6.1453046441251455
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_MediumDeepTauPFTauHPS45_L2NN_eta2p1,4650,21.0,21.0,ParkingVBF[0-7],83934,5.5400671956537275
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,4458,9.5,9.5,ParkingVBF[0-7],83934,5.311316034026735
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5,4064,9.5,9.5,ParkingVBF[0-7],83934,4.841899587771344
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60,2724,27.2,27.2,Tau,83934,3.245407105582958
HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1,2402,27.2,27.2,Tau,83934,2.8617723449376893
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75,2340,27.2,27.2,Tau,83934,2.787904782328973
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85,2310,21.0,21.0,ParkingVBF[0-7],83934,2.752162413324755
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85,2168,9.5,9.5,ParkingVBF[0-7],83934,2.5829818667047917
HLT_DoublePFJets40_Mass500_MediumDeepTauPFTauHPS45_L2NN_MediumDeepTauPFTauHPS20_eta2p1,2012,27.2,27.2,"ParkingVBF[0-7], Tau",83934,2.3971215478828602
HLT_QuadPFJet100_88_70_30_PNet1CvsAll0p5_VBF3Tight,1868,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,2.225558176662616
HLT_DiJet110_35_Mjj650_PFMET110,1730,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,2.0611432792432147
HLT_QuadPFJet105_88_75_30_PNet1CvsAll0p5_VBF3Tight,1556,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,1.853837539018753
HLT_VBF_DoubleMediumDeepTauPFTauHPS20_eta2p1,1402,27.2,27.2,"ParkingVBF[0-7], Tau",83934,1.6703600447971025
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF,1300,27.1,27.1,"JetMET[0,1]",83934,1.5488359901827626
HLT_DiJet110_35_Mjj650_PFMET120,1288,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,1.5345390425810757
HLT_HT360_DisplacedDijet40_Inclusive1PtrkShortSig5,1128,2.6,2.6,ParkingLLP,83934,1.3439130745585817
HLT_QuadPFJet111_90_80_30_PNet1CvsAll0p6_VBF3Tight,1106,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]",83934,1.3177020039554888
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight,974,27.2,27.2,"JetMET[0,1]",83934,1.1604355803369315
HLT_PFMET120_PFMHT120_IDTight,972,27.2,27.2,"JetMET[0,1]",83934,1.1580527557366502
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF,970,27.2,27.2,"JetMET[0,1]",83934,1.155669931136369
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60,966,27.2,27.2,"JetMET[0,1]",83934,1.1509042819358066
HLT_PFMET120_PFMHT120_IDTight_PFHT60,964,27.2,27.2,"JetMET[0,1]",83934,1.1485214573355256
HLT_HT360_DisplacedDijet45_Inclusive1PtrkShortSig5,958,2.6,2.6,ParkingLLP,83934,1.141372983534682
