Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets
HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1,1033,27.2,27.2,Tau
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet60,826,27.2,27.2,Tau
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_PFJet75,685,27.2,27.2,Tau
HLT_DoubleMediumDeepTauPFTauHPS30_L2NN_eta2p1_OneProng_M5to80,549,27.2,27.2,Tau
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF,499,27.1,27.1,"JetMET[0,1]"
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p03,461,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p05,449,21.0,21.0,"JetMET[0,1]"
HLT_VBF_DiPFJet125_45_Mjj720_Detajj3p0,443,1.7,1.7,ParkingVBF[0-7]
HLT_HT360_DisplacedDijet40_Inclusive1PtrkShortSig5,416,2.6,2.6,ParkingLLP
HLT_PFMET120_PFMHT120_IDTight,407,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p03,405,21.0,21.0,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight,404,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF,403,27.2,27.2,"JetMET[0,1]"
HLT_PFMET120_PFMHT120_IDTight_PFHT60,403,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60,400,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p05,395,21.0,21.0,"JetMET[0,1]"
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,382,21.0,21.0,ParkingVBF[0-7]
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06,379,21.0,21.0,"JetMET[0,1]"
HLT_VBF_DiPFJet75_45_Mjj600_Detajj2p5_DiPFJet60_JetMatchingQuadJet,352,9.5,9.5,ParkingVBF[0-7]
HLT_PFHT500_PFMET100_PFMHT100_IDTight,352,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03,348,21.0,21.0,"JetMET[0,1]"
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight,344,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF,343,27.2,27.2,"JetMET[0,1]"
HLT_PFMET130_PFMHT130_IDTight,343,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06,342,21.0,21.0,"JetMET[0,1]"
HLT_HT390_DisplacedDijet40_Inclusive1PtrkShortSig5,341,2.6,2.6,ParkingLLP
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05,340,21.0,21.0,"JetMET[0,1]"
HLT_HT360_DisplacedDijet45_Inclusive1PtrkShortSig5,339,2.6,2.6,ParkingLLP
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10,323,21.0,21.0,"JetMET[0,1]"
HLT_VBF_DiPFJet45_Mjj500_Detajj2p5_MediumDeepTauPFTauHPS45_L2NN_eta2p1,323,21.0,21.0,ParkingVBF[0-7]
HLT_PFMETTypeOne140_PFMHT140_IDTight,318,27.2,27.2,"JetMET[0,1]"
HLT_DiJet110_35_Mjj650_PFMET110,315,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_PFHT500_PFMET110_PFMHT110_IDTight,315,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06,301,21.0,21.0,"JetMET[0,1]"
HLT_HT390eta2p0_DisplacedDijet40_Inclusive1PtrkShortSig5,295,21.0,21.0,ParkingLLP
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10,295,21.0,21.0,"JetMET[0,1]"
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight,289,27.2,27.2,"JetMET[0,1]"
HLT_PFMET140_PFMHT140_IDTight,289,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF,288,27.2,27.2,"JetMET[0,1]"
HLT_HT390_DisplacedDijet45_Inclusive1PtrkShortSig5,276,21.0,21.0,ParkingLLP
HLT_VBF_DiPFJet105_40_Mjj1000_Detajj3p5,274,20.8,20.8,ParkingVBF[0-7]
HLT_DiJet110_35_Mjj650_PFMET120,271,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_VBF_DiPFJet110_40_Mjj1000_Detajj3p5,262,9.5,9.5,ParkingVBF[0-7]
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10,262,21.0,21.0,"JetMET[0,1]"
HLT_HT430_DisplacedDijet40_Inclusive1PtrkShortSig5,259,27.2,27.2,"DisplacedJet, ParkingLLP"
HLT_AK8PFJet420_MassSD30,256,27.2,27.2,"JetMET[0,1]"
HLT_DiJet110_35_Mjj650_PFMET130,231,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_PFHT700_PFMET85_PFMHT85_IDTight,228,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet450_MassSD30,216,27.2,27.2,"JetMET[0,1]"
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5,215,9.5,9.5,ParkingVBF[0-7]
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85,202,21.0,21.0,ParkingVBF[0-7]
HLT_VBF_DiPFJet80_45_Mjj500_Detajj2p5_PFMET85,193,9.5,9.5,ParkingVBF[0-7]
HLT_AK8PFJet470_MassSD30,190,27.2,27.2,"JetMET[0,1]"
HLT_PFHT800_PFMET75_PFMHT75_IDTight,186,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet500,179,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet500_MassSD30,164,27.2,27.2,"JetMET[0,1]"
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId,158,27.2,27.2,"EGamma[0,1]"
HLT_CaloJet500_NoJetID,158,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet270_270_MassSD30,157,27.2,27.2,"JetMET[0,1]"
HLT_PFJet500,155,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet425_SoftDropMass40,152,27.2,27.2,"JetMET[0,1]"
HLT_DoublePFJets40_Mass500_MediumDeepTauPFTauHPS45_L2NN_MediumDeepTauPFTauHPS20_eta2p1,147,27.2,27.2,"ParkingVBF[0-7], Tau"
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1,145,27.2,27.2,Tau
HLT_AK8DiPFJet280_280_MassSD30,142,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet290_290_MassSD30,135,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet250_250_MassSD50,134,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet550,130,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet260_260_MassSD50,127,27.2,27.2,"JetMET[0,1]"
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_Mass55,125,27.2,27.2,"EGamma[0,1]"
HLT_PFHT1050,125,27.2,27.2,"JetMET[0,1]"
HLT_PFHT280_QuadPFJet30_PNet2BTagMean0p55,124,21.0,21.0,ParkingHH
HLT_AK8PFJet450_SoftDropMass40,123,27.2,27.2,"JetMET[0,1]"
HLT_Diphoton22_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,118,27.2,27.2,"EGamma[0,1]"
HLT_CaloJet550_NoJetID,115,27.2,27.2,"JetMET[0,1]"
HLT_HT430_DelayedJet40_SingleDelay1To1p5nsInclusive,111,3.4,3.4,ParkingLLP
HLT_PFJet550,109,27.2,27.2,"JetMET[0,1]"
HLT_Ele30_WPTight_Gsf,105,27.2,27.2,"EGamma[0,1]"
HLT_Diphoton24_14_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,104,27.2,27.2,"EGamma[0,1]"
HLT_HT650_DisplacedDijet60_Inclusive,101,27.2,27.2,"DisplacedJet, ParkingLLP"
HLT_DoubleEle4_eta1p22_mMax6,94,2.8,2.8,ParkingDoubleElectronLowMass
HLT_QuadPFJet100_88_70_30_PNet1CvsAll0p5_VBF3Tight,92,27.2,27.2,"JetMET[0,1], ParkingVBF[0-7]"
HLT_Ele32_WPTight_Gsf,91,27.2,27.2,"EGamma[0,1]"
HLT_Ele32_WPTight_Gsf_L1DoubleEG,91,27.2,27.2,"EGamma[0,1]"
HLT_Diphoton24_16_eta1p5_R9IdL_AND_HET_AND_IsoTCaloIdT,90,27.2,27.2,"EGamma[0,1]"
HLT_HT430_DelayedJet40_SingleDelay1p1To1p6nsInclusive,85,3.4,3.4,ParkingLLP
HLT_PFHT400_FivePFJet_100_100_60_30_30_DoublePFBTagDeepJet_4p5,84,27.2,27.2,"JetMET[0,1], ParkingHH"
