Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets
HLT_AK8PFJet40,62046,27.2,7.1e-06,"JetMET[0,1]"
HLT_AK8PFJetFwd15,62015,0.0,0.0,"JetMET[0,1]"
HLT_PFJet40,49023,27.2,5.9e-05,"JetMET[0,1]"
HLT_AK8PFJetFwd25,47182,0.0,0.0,"JetMET[0,1]"
HLT_AK8PFJet60,43971,27.2,7.6e-05,"JetMET[0,1]"
HLT_DiPFJetAve40,40344,27.2,0.00012,"JetMET[0,1]"
HLT_PFJet60,25209,27.2,0.00041,"JetMET[0,1]"
HLT_AK8PFJet80,21593,27.2,0.00081,"JetMET[0,1]"
HLT_DiPFJetAve60,16363,27.2,0.00047,"JetMET[0,1]"
HLT_AK8PFJetFwd40,14906,27.2,2.4e-06,"JetMET[0,1]"
HLT_PFJet80,13206,27.2,0.0016,"JetMET[0,1]"
HLT_L1SingleMuCosmics,11522,0.0,0.0,Cosmics
HLT_PFHT180,10454,27.2,0.0024,"JetMET[0,1]"
HLT_DiPFJetAve80,8809,27.2,0.0016,"JetMET[0,1]"
HLT_SingleEle8_SingleEGL1,7352,27.2,0.02,ParkingDoubleElectronLowMass
HLT_PFJet110,6473,27.2,0.0065,"JetMET[0,1]"
HLT_PFHT250,5696,27.2,0.0066,"JetMET[0,1]"
HLT_AK8PFJet140,4853,27.2,0.02,"JetMET[0,1]"
HLT_PFJetFwd40,4805,27.2,7.1e-05,"JetMET[0,1]"
HLT_PFJet140,3958,27.2,0.02,"JetMET[0,1]"
HLT_AK8PFJetFwd60,3126,25.3,0.00037,"JetMET[0,1]"
HLT_HT350,3117,21.0,0.01,DisplacedJet
HLT_Ele8_CaloIdM_TrackIdM_PFJet30,2901,27.2,0.0047,"EGamma[0,1]"
HLT_PFHT350,2799,27.2,0.11,"JetMET[0,1]"
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,2624,27.2,0.0047,"EGamma[0,1]"
HLT_DiPFJetAve140,2586,27.2,0.02,"JetMET[0,1]"
HLT_PFHT370,2498,27.2,0.017,"JetMET[0,1]"
HLT_PFHT280_QuadPFJet30,2441,21.0,0.21,ParkingHH
HLT_AK8PFJet200,2158,27.2,0.079,"JetMET[0,1]"
HLT_L1ETMHadSeeds,2078,27.2,0.027,"JetMET[0,1]"
HLT_Mu3_PFJet40,2053,27.2,0.0012,"Muon[0,1]"
HLT_HT425,1969,27.2,0.053,DisplacedJet
HLT_PFJetFwd60,1966,25.3,0.00071,"JetMET[0,1]"
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,1956,27.2,0.027,"EGamma[0,1]"
HLT_PFJet200,1755,27.2,0.079,"JetMET[0,1]"
HLT_PFHT430,1744,27.2,0.054,"JetMET[0,1]"
HLT_DiPFJetAve60_HFJEC,1733,27.2,0.0018,"JetMET[0,1]"
HLT_QuadPFJet103_88_75_15,1645,27.2,0.11,"JetMET[0,1]"
HLT_QuadPFJet105_88_76_15,1595,27.2,0.053,"JetMET[0,1]"
HLT_QuadPFJet100_88_70_30,1493,27.2,0.11,"JetMET[0,1]"
HLT_PFHT330PT30_QuadPFJet_75_60_45_40,1412,27.2,0.21,"JetMET[0,1], ParkingHH"
HLT_QuadPFJet111_90_80_15,1392,27.2,0.053,"JetMET[0,1]"
HLT_QuadPFJet105_88_75_30,1328,21.0,0.082,"JetMET[0,1]"
