Trigger_Name,Events_passed,Actual_lumi,Effective_lumi,datasets
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF,499,27.1,27.1,"JetMET[0,1]"
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p03,461,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet230_SoftDropMass40_PNetTauTau0p05,449,21.0,21.0,"JetMET[0,1]"
HLT_PFMET120_PFMHT120_IDTight,407,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p03,405,21.0,21.0,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight,404,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF,403,27.2,27.2,"JetMET[0,1]"
HLT_PFMET120_PFMHT120_IDTight_PFHT60,403,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60,400,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet250_SoftDropMass40_PNetTauTau0p05,395,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p06,379,21.0,21.0,"JetMET[0,1]"
HLT_PFHT500_PFMET100_PFMHT100_IDTight,352,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03,348,21.0,21.0,"JetMET[0,1]"
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight,344,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF,343,27.2,27.2,"JetMET[0,1]"
HLT_PFMET130_PFMHT130_IDTight,343,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p06,342,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05,340,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet230_SoftDropMass40_PNetBB0p10,323,21.0,21.0,"JetMET[0,1]"
HLT_PFMETTypeOne140_PFMHT140_IDTight,318,27.2,27.2,"JetMET[0,1]"
HLT_PFHT500_PFMET110_PFMHT110_IDTight,315,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06,301,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet250_SoftDropMass40_PNetBB0p10,295,21.0,21.0,"JetMET[0,1]"
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight,289,27.2,27.2,"JetMET[0,1]"
HLT_PFMET140_PFMHT140_IDTight,289,27.2,27.2,"JetMET[0,1]"
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF,288,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10,262,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet420_MassSD30,256,27.2,27.2,"JetMET[0,1]"
HLT_PFHT700_PFMET85_PFMHT85_IDTight,228,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet450_MassSD30,216,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet470_MassSD30,190,27.2,27.2,"JetMET[0,1]"
HLT_PFHT800_PFMET75_PFMHT75_IDTight,186,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet500,179,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet500_MassSD30,164,27.2,27.2,"JetMET[0,1]"
HLT_CaloJet500_NoJetID,158,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet270_270_MassSD30,157,27.2,27.2,"JetMET[0,1]"
HLT_PFJet500,155,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet425_SoftDropMass40,152,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet280_280_MassSD30,142,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet290_290_MassSD30,135,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet250_250_MassSD50,134,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet550,130,27.2,27.2,"JetMET[0,1]"
HLT_AK8DiPFJet260_260_MassSD50,127,27.2,27.2,"JetMET[0,1]"
HLT_PFHT1050,125,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet450_SoftDropMass40,123,27.2,27.2,"JetMET[0,1]"
HLT_CaloJet550_NoJetID,115,27.2,27.2,"JetMET[0,1]"
HLT_PFJet550,109,27.2,27.2,"JetMET[0,1]"
HLT_PFMET250_NotCleaned,67,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p50,47,21.0,21.0,"JetMET[0,1]"
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p53,36,21.0,21.0,"JetMET[0,1]"
HLT_PFMET300_NotCleaned,33,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p55,31,21.0,21.0,"JetMET[0,1]"
HLT_CaloMET350_NotCleaned,23,27.2,27.2,"JetMET[0,1]"
HLT_AK8PFJet220_SoftDropMass40_PNetBB0p06_DoubleAK4PFJet60_30_PNet2BTagMean0p60,16,21.0,21.0,"JetMET[0,1]"
